id,level,category,subcategory,question,options,correct_answer,explanation,source
95,AEMT,Pediatric,Medications,Pediatric oral glucose gel can be given if:,"[""Patient is unconscious"", ""Patient is alert with gag reflex"", ""Patient is seizing"", ""Patient is vomiting""]",1,Oral glucose only for alert pediatric patients with intact gag reflex who can swallow.,SNHD Protocols - Pediatric Hypoglycemia
96,PARAMEDIC,Pediatric,Medications,Pediatric fentanyl for pain management is contraindicated with:,"[""Fever"", ""Respiratory depression or altered mental status"", ""Crying"", ""Normal vitals""]",1,"Fentanyl contraindicated in pediatrics with respiratory depression, altered LOC, or hemodynamic instability.",SNHD Protocols - Pediatric Pain
97,PARAMEDIC,Pediatric,Medications,Pediatric diphenhydramine (Benadryl) dose for allergic reaction:,"[""0.5 mg/kg IV/IM (max 25 mg)"", ""25 mg fixed dose"", ""50 mg fixed dose"", ""1 mg/kg (max 100 mg)""]",0,"Pediatric diphenhydramine: 1 mg/kg PO or 0.5 mg/kg IV/IM, maximum 25 mg.",SNHD Protocols - Pediatric Allergies
98,AEMT,Pediatric,Medications,A 5-year-old (18 kg) with severe pain can receive fentanyl at:,"[""0.5 mcg/kg IN (max 50 mcg)"", ""1 mcg/kg IN (max 100 mcg)"", ""25 mcg fixed dose"", ""50 mcg fixed dose""]",1,"Pediatric fentanyl: 1 mcg/kg IN, maximum 100 mcg (50 mcg per nostril).",SNHD Protocols - Pediatric Pain Management
99,PARAMEDIC,Pediatric,Medications,Pediatric adenosine for SVT requires:,"[""Defibrillation first"", ""Rapid IV push followed by saline flush"", ""Slow IV drip"", ""IM injection""]",1,Adenosine must be given as rapid IV push followed immediately by 5-10 mL saline flush.,SNHD Protocols - Pediatric Dysrhythmias
100,PARAMEDIC,Pediatric,Medications,Pediatric amiodarone dosing for ventricular fibrillation:,"[""1 mg/kg IV/IO (max 100 mg)"", ""5 mg/kg IV/IO (max 300 mg)"", ""150 mg fixed dose"", ""300 mg fixed dose""]",1,"Pediatric amiodarone: 5 mg/kg IV/IO, maximum 300 mg for cardiac arrest.",SNHD Protocols - Pediatric Cardiac Arrest
101,AEMT,Pediatric,Medications,Pediatric ondansetron (Zofran) for vomiting is contraindicated in:,"[""Fever"", ""Known prolonged QT syndrome"", ""Dehydration"", ""All pediatric patients""]",1,Ondansetron is contraindicated in prolonged QT syndrome due to risk of torsades.,SNHD Protocols - Pediatric Contraindications
102,PARAMEDIC,Pediatric,Medications,Pediatric dextrose (D10) for hypoglycemia is given at:,"[""0.5 g/kg (5 mL/kg) slow IV"", ""1 g/kg (10 mL/kg) rapid IV"", ""2 g/kg IV push"", ""D25 preferred""]",0,Pediatric D10: 5 mL/kg (0.5 g/kg) slow IV. D10 is preferred over D25/D50 in pediatrics.,SNHD Protocols - Pediatric Hypoglycemia
103,EMT,Pediatric,Medications,Pediatric acetaminophen (Tylenol) rectal dose for fever:,"[""5 mg/kg"", ""10 mg/kg"", ""15 mg/kg"", ""20 mg/kg""]",2,"Pediatric acetaminophen: 15 mg/kg PO or PR, maximum 75 mg/kg/day (not to exceed adult max).",SNHD Protocols - Pediatric Fever
104,PARAMEDIC,Pediatric,Medications,Pediatric succinylcholine for RSI is dosed at:,"[""0.5 mg/kg"", ""1 mg/kg"", ""2 mg/kg"", ""3 mg/kg""]",2,Pediatric succinylcholine: 2 mg/kg IV (higher dose than adults due to larger volume of distribution).,SNHD Protocols - Pediatric RSI
105,PARAMEDIC,Pediatric,Medications,Pediatric rocuronium for RSI is dosed at:,"[""0.3 mg/kg"", ""0.6 mg/kg"", ""1.2 mg/kg"", ""1.6 mg/kg""]",2,Pediatric rocuronium for RSI: 1.2 mg/kg IV (higher dose than adults).,SNHD Protocols - Pediatric Airway
106,EMT,Pediatric,Special Cases,"In pediatric bradycardia with poor perfusion, first intervention is:","[""Atropine"", ""Epinephrine"", ""Oxygenation and ventilation support"", ""Defibrillation""]",2,Pediatric bradycardia is usually due to hypoxia - oxygenate and ventilate first.,SNHD Protocols - Pediatric Bradycardia
107,AEMT,Pediatric,Special Cases,Pediatric dose calculation using Broselow tape is based on:,"[""Age"", ""Weight only"", ""Length/height"", ""Head circumference""]",2,Broselow tape uses patient length to estimate weight and provide medication dosing.,SNHD Protocols - Pediatric Equipment
108,EMT,Pediatric,Special Cases,"During pediatric respiratory arrest with a pulse, ventilate at:","[""30 breaths/minute"", ""20-30 breaths/minute"", ""12-20 breaths/minute"", ""As fast as possible""]",1,Pediatric with pulse: ventilate 20-30 breaths/minute (every 2-3 seconds).,SNHD Protocols - Pediatric Ventilation
109,PARAMEDIC,Pediatric,Special Cases,Pediatric septic shock may present with:,"[""Hypertension"", ""Normal or low BP with signs of poor perfusion (compensated shock)"", ""Bradycardia"", ""Increased urine output""]",1,"Pediatric patients compensate well - may have normal BP but poor perfusion (tachycardia, delayed cap refill, altered mentation).",SNHD Protocols - Pediatric Shock Recognition
110,EMT,Pediatric,Special Cases,"For infants, proper BVM technique requires:","[""One hand for seal, one for squeeze"", ""Two hands for seal, one for squeeze"", ""One person only"", ""High pressure ventilation""]",1,"Infant BVM: Two hands for mask seal (E-C technique), one person squeezes bag. Prevents air leaks.",SNHD Protocols - Pediatric BVM
111,AEMT,Pediatric,Special Cases,Pediatric IO (intraosseous) access is preferred in children under:,"[""2 years"", ""6 years"", ""12 years"", ""Any age if no IV access""]",1,IO is preferred in children under 6 years when IV access difficult or delayed. Can be used in any age.,SNHD Protocols - Pediatric Access
112,EMT,Pediatric,Special Cases,"During pediatric fever with altered mental status, suspect:","[""Simple viral illness"", ""Febrile seizure, meningitis, or sepsis"", ""Heat exhaustion"", ""Hypoglycemia only""]",1,"Fever + altered mental status in pediatrics is serious - consider febrile seizure, meningitis, or sepsis.",SNHD Protocols - Pediatric Fever Workup
113,PARAMEDIC,Pediatric,Special Cases,Pediatric post-intubation sedation and analgesia should include:,"[""No medications needed"", ""Analgesia (pain control) AND sedation"", ""Sedation only"", ""Paralytic only""]",1,Intubated pediatric patients require both analgesia (fentanyl) AND sedation (midazolam/ketamine).,SNHD Protocols - Pediatric Post-Intubation
114,EMT,Pediatric,Special Cases,"For suspected non-accidental trauma in pediatrics, you should:","[""Confront the parents immediately"", ""Document findings objectively and report suspicions"", ""Ignore it as not your concern"", ""Transport without documentation""]",1,"Document objective findings, mechanism inconsistencies, and report suspicions to receiving facility.",SNHD Protocols - Pediatric Abuse
115,PARAMEDIC,Pediatric,Special Cases,Pediatric traumatic arrest with asystole has:,"[""Good prognosis with aggressive resuscitation"", ""Poor prognosis - consider terminating if no reversible cause"", ""Always due to hypothermia"", ""Better outcomes than adults""]",1,Pediatric traumatic arrest in asystole has very poor prognosis. Consider termination if no reversible cause found.,SNHD Protocols - Pediatric Traumatic Arrest
116,EMT,Pediatric,Fluid Boluses,A 4-year-old weighing 16 kg needs a fluid bolus. Calculate: 16 kg × 20 mL/kg = ?,"[""240 mL"", ""320 mL"", ""400 mL"", ""480 mL""]",1,"16 kg × 20 mL/kg = 320 mL. This is under the 1000 mL cap, so give full 320 mL.",SNHD Protocols - Pediatric Fluid Calculation
117,EMT,Pediatric,Fluid Boluses,An 8-year-old weighing 25 kg needs a fluid bolus. Calculate amount and apply cap: 25 kg × 20 mL/kg = ?,"[""400 mL"", ""500 mL"", ""750 mL"", ""1000 mL (capped)""]",1,"25 kg × 20 mL/kg = 500 mL. Under 1000 mL cap, so give 500 mL.",SNHD Protocols - Pediatric Fluid Calculation
118,EMT,Pediatric,Fluid Boluses,A 12-year-old weighing 55 kg needs a fluid bolus. Calculate: 55 kg × 20 mL/kg = ? Apply cap.,"[""800 mL"", ""1000 mL (capped)"", ""1100 mL"", ""1200 mL""]",1,"55 kg × 20 mL/kg = 1100 mL, BUT maximum single bolus is 1000 mL. Give 1000 mL.",SNHD Protocols - Pediatric Fluid Cap
119,EMT,Pediatric,Fluid Boluses,A 2-year-old weighing 12 kg is in hypovolemic shock. First bolus is 12 kg × 20 mL/kg = ?,"[""200 mL"", ""240 mL"", ""300 mL"", ""400 mL""]",1,12 kg × 20 mL/kg = 240 mL first bolus. Reassess after administration.,SNHD Protocols - Pediatric Shock
120,AEMT,Pediatric,Fluid Boluses,"After first bolus, the 12 kg child remains hypotensive. Second bolus calculation: 12 kg × 20 mL/kg = ? Total given?","[""120 mL, total 360 mL"", ""240 mL, total 480 mL (40 mL/kg)"", ""500 mL, total 740 mL"", ""1000 mL total""]",1,Second bolus is another 240 mL. Total is 480 mL or 40 mL/kg. Maximum recommended before reassessment.,SNHD Protocols - Pediatric Bolus Limits
121,EMT,Pediatric,Fluid Boluses,A 5-year-old weighs 18 kg. Calculate fluid bolus: 18 kg × 20 mL/kg = ?,"[""300 mL"", ""360 mL"", ""400 mL"", ""500 mL""]",1,18 kg × 20 mL/kg = 360 mL bolus.,SNHD Protocols - Pediatric Calculation
122,EMT,Pediatric,Fluid Boluses,A 7-month-old infant weighs 8 kg. Calculate bolus: 8 kg × 20 mL/kg = ?,"[""120 mL"", ""160 mL"", ""200 mL"", ""240 mL""]",1,8 kg × 20 mL/kg = 160 mL bolus for this infant.,SNHD Protocols - Pediatric Infant Fluids
123,EMT,Pediatric,Fluid Boluses,A 10-year-old weighs 32 kg. Calculate: 32 kg × 20 mL/kg = ?,"[""540 mL"", ""640 mL"", ""740 mL"", ""840 mL""]",1,32 kg × 20 mL/kg = 640 mL bolus.,SNHD Protocols - Pediatric Calculation
124,AEMT,Pediatric,Fluid Boluses,A 14 kg child has received 2 boluses and remains unstable. You have given 14 kg × 20 mL/kg × 2 = ?,"[""420 mL"", ""560 mL"", ""640 mL"", ""760 mL""]",1,14 kg × 20 mL/kg = 280 mL per bolus. Two boluses = 560 mL total (40 mL/kg). Consider other interventions.,SNHD Protocols - Pediatric Maximum Boluses
125,PARAMEDIC,Pediatric,Fluid Boluses,A 50 kg adolescent in DKA with pH 7.1 and altered mental status. Fluid calculation: 50 kg × 20 mL/kg = ? Special consideration?,"[""1000 mL - give rapidly"", ""1000 mL - give cautiously due to cerebral edema risk"", ""2000 mL - DKA needs more"", ""No fluids until glucose normalized""]",1,DKA patients get 20 mL/kg (1000 mL) BUT must be given cautiously over 1-2 hours due to cerebral edema risk.,SNHD Protocols - DKA Fluids
126,EMT,Pediatric,Fluid Boluses,A 3-day-old neonate weighs 3.5 kg and is in shock. Neonatal bolus: 3.5 kg × 10 mL/kg = ?,"[""25 mL"", ""35 mL"", ""50 mL"", ""70 mL""]",1,Neonates (<28 days) receive 10 mL/kg boluses. 3.5 kg × 10 = 35 mL.,SNHD Protocols - Neonatal Bolus
127,AEMT,Pediatric,Fluid Boluses,A 9 kg infant in shock. First bolus: 9 kg × 20 mL/kg = ? Second bolus if needed?,"[""180 mL, then 180 mL more"", ""200 mL, then 200 mL more"", ""150 mL, then reassess"", ""No bolus - infants get IV only""]",0,"9 kg × 20 = 180 mL first bolus. If still unstable, second 180 mL bolus for total 360 mL (40 mL/kg).",SNHD Protocols - Pediatric Infants
128,PARAMEDIC,Pediatric,Fluid Boluses,A 22 kg child has 30% TBSA burns. Using Parkland formula (4 mL × kg × %TBSA): 4 × 22 × 30 = ? First 8 hours?,"[""1320 mL total, 660 mL in first 8 hours"", ""2640 mL total, 1320 mL in first 8 hours"", ""3000 mL total"", ""500 mL in first 8 hours""]",1,Parkland: 4 × 22 × 30 = 2640 mL total. Half in first 8 hours = 1320 mL.,SNHD Protocols - Burn Calculation
129,EMT,Pediatric,Fluid Boluses,A 6-year-old weighs 21 kg and has severe vomiting with signs of shock. Bolus calculation: 21 kg × 20 mL/kg = ?,"[""320 mL"", ""420 mL"", ""520 mL"", ""620 mL""]",1,21 kg × 20 mL/kg = 420 mL first bolus for hypovolemic shock.,SNHD Protocols - Dehydration
130,AEMT,Pediatric,Fluid Boluses,A 28 kg child needs fluids but has rales and JVD. What do you do?,"[""Give full 560 mL bolus"", ""Give half bolus (280 mL)"", ""No bolus - suspected CHF/fluid overload"", ""Give 1000 mL regardless""]",2,Rales and JVD indicate fluid overload/CHF. Fluid bolus is CONTRAINDICATED.,SNHD Protocols - Pediatric Contraindications
131,EMT,Pediatric,Fluid Boluses,A 15-month-old weighs 10 kg and is lethargic with delayed cap refill. Bolus: 10 kg × 20 mL/kg = ?,"[""150 mL"", ""200 mL"", ""250 mL"", ""300 mL""]",1,10 kg × 20 mL/kg = 200 mL first bolus for shock.,SNHD Protocols - Toddler Fluids
132,AEMT,Pediatric,Medications,A 9-year-old weighs 27 kg and has anaphylaxis. Epinephrine: 27 kg × 0.01 mg/kg = ? mg IM (max 0.3 mg),"[""0.2 mg"", ""0.27 mg"", ""0.3 mg (capped)"", ""0.5 mg""]",1,"27 kg × 0.01 = 0.27 mg IM. Under 0.3 mg max, so give 0.27 mg of 1:1000.",SNHD Protocols - Epinephrine Calculation
133,AEMT,Pediatric,Medications,A 5-year-old weighs 19 kg with anaphylaxis. Epinephrine: 19 kg × 0.01 mg/kg = ? Check against max.,"[""0.15 mg"", ""0.19 mg"", ""0.25 mg"", ""0.3 mg (capped)""]",1,"19 kg × 0.01 = 0.19 mg IM. Under 0.3 mg max, so give full calculated dose.",SNHD Protocols - Pediatric Anaphylaxis
134,AEMT,Pediatric,Medications,A 35 kg child has anaphylaxis. Epinephrine: 35 kg × 0.01 = 0.35 mg. Apply max. Dose?,"[""0.3 mg (capped)"", ""0.35 mg"", ""0.4 mg"", ""0.5 mg""]",0,"Calculated 0.35 mg, but MAXIMUM pediatric epinephrine is 0.3 mg IM. Give 0.3 mg.",SNHD Protocols - Pediatric Med Max
135,PARAMEDIC,Pediatric,Medications,A 12 kg child has status epilepticus. Midazolam: 12 kg × 0.1 mg/kg = ? mg IM/IN (max 5 mg),"[""0.8 mg"", ""1.0 mg"", ""1.2 mg"", ""5 mg""]",2,"12 kg × 0.1 = 1.2 mg IM/IN. Under 5 mg max, so give 1.2 mg.",SNHD Protocols - Midazolam Calc
136,PARAMEDIC,Pediatric,Medications,"An 8-year-old weighs 23 kg with asthma. Albuterol: 23 kg × 0.15 mg/kg = ? mg (min 2.5 mg, max 5 mg)","[""2.5 mg (minimum)"", ""3.45 mg"", ""5 mg (maximum)"", ""7 mg""]",1,"23 kg × 0.15 = 3.45 mg. Between 2.5-5 mg range, so give 3.45 mg (or round to 3.5 mg).",SNHD Protocols - Albuterol Calc
137,PARAMEDIC,Pediatric,Medications,A 4-year-old weighs 16 kg with severe asthma. Albuterol: 16 kg × 0.15 = 2.4 mg. Check min/max.,"[""2.4 mg"", ""2.5 mg (minimum)"", ""3 mg"", ""5 mg""]",1,"Calculated 2.4 mg, but MINIMUM is 2.5 mg. Give at least 2.5 mg.",SNHD Protocols - Albuterol Min
138,PARAMEDIC,Pediatric,Medications,A 40 kg child with severe pain. Fentanyl: 40 kg × 1 mcg/kg = ? mcg IN (max 100 mcg),"[""30 mcg"", ""40 mcg"", ""50 mcg"", ""100 mcg""]",1,40 kg × 1 mcg/kg = 40 mcg IN. Under 100 mcg max. Give 40 mcg (20 mcg per nostril).,SNHD Protocols - Fentanyl Calc
139,PARAMEDIC,Pediatric,Medications,A 55 kg adolescent needs fentanyl. 55 kg × 1 mcg/kg = 55 mcg. Max is 100 mcg. Dose?,"[""50 mcg"", ""55 mcg"", ""100 mcg"", ""150 mcg""]",2,"55 mcg calculated, but can give up to 100 mcg max. Consider giving 100 mcg for severe pain.",SNHD Protocols - Fentanyl Max
140,PARAMEDIC,Pediatric,Medications,A 7 kg infant is hypoglycemic. D10: 7 kg × 5 mL/kg = ? mL slow IV,"[""25 mL"", ""30 mL"", ""35 mL"", ""50 mL""]",2,7 kg × 5 mL/kg = 35 mL D10 slow IV push for hypoglycemia.,SNHD Protocols - D10 Calculation
141,PARAMEDIC,Pediatric,Medications,A 30 kg child needs RSI. Rocuronium: 30 kg × 1.2 mg/kg = ? mg IV,"[""24 mg"", ""30 mg"", ""36 mg"", ""40 mg""]",2,30 kg × 1.2 mg/kg = 36 mg IV rocuronium for paralysis.,SNHD Protocols - Rocuronium Calc
142,PARAMEDIC,Pediatric,Medications,A 20 kg child needs succinylcholine for RSI. 20 kg × 2 mg/kg = ? mg IV,"[""30 mg"", ""35 mg"", ""40 mg"", ""50 mg""]",2,20 kg × 2 mg/kg = 40 mg IV succinylcholine.,SNHD Protocols - Succinylcholine Calc
143,PARAMEDIC,Pediatric,Medications,A 14 kg toddler with VF. Amiodarone: 14 kg × 5 mg/kg = ? mg IV/IO (max 300 mg),"[""50 mg"", ""60 mg"", ""70 mg"", ""300 mg""]",2,14 kg × 5 mg/kg = 70 mg IV/IO. Well under 300 mg max.,SNHD Protocols - Amiodarone Calc
144,PARAMEDIC,Pediatric,Medications,A 65 kg adolescent in cardiac arrest needs amiodarone. 65 kg × 5 mg/kg = 325 mg. Apply max.,"[""300 mg (capped)"", ""325 mg"", ""350 mg"", ""400 mg""]",0,"Calculated 325 mg, but MAXIMUM is 300 mg. Give 300 mg IV/IO.",SNHD Protocols - Amiodarone Max
145,EMT,Pediatric,Medications,A 17 kg child has fever. Acetaminophen: 17 kg × 15 mg/kg = ? mg PO/PR,"[""200 mg"", ""255 mg"", ""300 mg"", ""350 mg""]",1,17 kg × 15 mg/kg = 255 mg PO or PR (round to 240 mg or 260 mg per local protocol).,SNHD Protocols - Acetaminophen Calc
146,AEMT,Pediatric,Medications,A 6 kg infant is hypoglycemic. Dextrose gel: 6 kg × 0.5 g/kg = ? g (if awake),"[""2 g"", ""3 g"", ""4 g"", ""5 g""]",1,6 kg × 0.5 g/kg = 3 g oral glucose gel if awake with gag reflex.,SNHD Protocols - Oral Glucose
147,PARAMEDIC,Pediatric,Medications,A 42 kg child needs ketamine for RSI. 42 kg × 2 mg/kg = ? mg IV,"[""60 mg"", ""74 mg"", ""84 mg"", ""100 mg""]",2,42 kg × 2 mg/kg = 84 mg IV ketamine for induction.,SNHD Protocols - Ketamine Calc
148,PARAMEDIC,Pediatric,Medications,A 25 kg child needs midazolam for seizure. 25 kg × 0.1 mg/kg = ? mg IM/IN (max 5 mg),"[""2 mg"", ""2.5 mg"", ""3 mg"", ""5 mg""]",1,25 kg × 0.1 = 2.5 mg IM/IN. Under 5 mg max. Can repeat in 5-10 minutes.,SNHD Protocols - Midazolam Calc
149,AEMT,Pediatric,Medications,A 10 kg child has allergic reaction. Diphenhydramine: 10 kg × 0.5 mg/kg = ? mg (max 25 mg),"[""3 mg"", ""5 mg"", ""10 mg"", ""25 mg""]",1,10 kg × 0.5 mg/kg = 5 mg IV/IM. Under 25 mg max.,SNHD Protocols - Diphenhydramine Calc
150,AEMT,Pediatric,Medications,A 3-year-old is wheezing but has a known sulfa allergy. Can you give albuterol?,"[""No - contraindicated"", ""Yes - albuterol is not a sulfa drug"", ""Only if severe"", ""Give epinephrine instead""]",1,Albuterol does NOT contain sulfa. Safe to give despite sulfa allergy.,SNHD Protocols - Allergy Clarification
151,PARAMEDIC,Pediatric,Medications,A child needs pain control but has respiratory rate of 8. Which medication is CONTRAINDICATED?,"[""Acetaminophen"", ""Fentanyl"", ""Ketorolac"", ""Ibuprofen""]",1,Fentanyl is contraindicated with respiratory depression (RR <10). Use non-opioid alternatives.,SNHD Protocols - Opioid Contraindications
152,PARAMEDIC,Pediatric,Medications,A 2-year-old has SVT. Adenosine should be given:,"[""Rapid IV push with immediate flush"", ""Slow IV drip"", ""IM injection"", ""Subcutaneously""]",0,Adenosine must be rapid IV push followed immediately by 5-10 mL saline flush (half-life <10 seconds).,SNHD Protocols - Adenosine Administration
153,PARAMEDIC,Pediatric,Medications,A 20 kg child has moderate pain from a fracture. Ibuprofen dosing: 20 kg × 10 mg/kg = ?,"[""100 mg"", ""200 mg"", ""300 mg"", ""400 mg""]",1,"20 kg × 10 mg/kg = 200 mg PO ibuprofen (max 400 mg/dose, 1200 mg/day).",SNHD Protocols - Ibuprofen Dosing
154,PARAMEDIC,Pediatric,Medications,A 15 kg toddler needs pain relief. Acetaminophen rectal: 15 kg × 15 mg/kg = ?,"[""150 mg"", ""200 mg"", ""225 mg"", ""300 mg""]",2,15 kg × 15 mg/kg = 225 mg PR acetaminophen (round to 240 mg per local protocol).,SNHD Protocols - Acetaminophen PR
155,PARAMEDIC,Pediatric,Medications,An 18 kg child with vomiting. Ondansetron: 18 kg × 0.15 mg/kg = ? mg (max 4 mg),"[""2 mg"", ""2.4 mg"", ""2.7 mg"", ""4 mg""]",2,18 kg × 0.15 = 2.7 mg PO/ODT. Under 4 mg max. Can round to 2.5 or 3 mg.,SNHD Protocols - Ondansetron Dosing
156,PARAMEDIC,Pediatric,Medications,A 25 kg child needs ondansetron. 25 kg × 0.15 = 3.75 mg. IV dosing is different:,"[""0.1 mg/kg IV (max 2 mg)"", ""0.15 mg/kg IV"", ""0.5 mg/kg IV"", ""1 mg/kg IV""]",0,Ondansetron IV: 0.1 mg/kg (max 2 mg IV). PO/ODT is 0.15 mg/kg (max 4 mg).,SNHD Protocols - Ondansetron IV vs PO
157,EMT,Pediatric,Medications,A 12 kg infant with wheezing. Albuterol: 12 kg × 0.15 mg/kg = ? (min 2.5 mg),"[""1.5 mg"", ""1.8 mg"", ""2.5 mg (minimum)"", ""3 mg""]",2,"12 kg × 0.15 = 1.8 mg, but MINIMUM is 2.5 mg. Give 2.5 mg via nebulizer.",SNHD Protocols - Albuterol Minimum
158,AEMT,Pediatric,Medications,Albuterol can be repeated every how often in severe pediatric asthma?,"[""Every 15 minutes"", ""Every 20-30 minutes"", ""Every hour"", ""Once only""]",1,Albuterol can be repeated every 20-30 minutes in severe asthma with reassessment.,SNHD Protocols - Albuterol Frequency
159,PARAMEDIC,Pediatric,Medications,A 20 kg child with moderate asthma exacerbation. Prednisolone: 20 kg × 1 mg/kg = ?,"[""10 mg"", ""20 mg"", ""30 mg"", ""40 mg""]",1,20 kg × 1 mg/kg = 20 mg PO prednisolone (typical range 1-2 mg/kg).,SNHD Protocols - Prednisolone Dosing
160,PARAMEDIC,Pediatric,Medications,Dexamethasone for pediatric asthma/croup alternative dosing:,"[""0.3 mg/kg PO/IM (max 10 mg)"", ""0.6 mg/kg PO/IM (max 10 mg)"", ""1 mg/kg"", ""2 mg/kg""]",1,Dexamethasone: 0.6 mg/kg PO/IM (max 10 mg) - longer acting than prednisolone.,SNHD Protocols - Dexamethasone
161,PARAMEDIC,Pediatric,Medications,A 10 kg infant with opioid-induced respiratory depression. Naloxone: 10 kg × 0.1 mg/kg = ?,"[""0.5 mg"", ""1 mg"", ""1.5 mg"", ""2 mg""]",1,"10 kg × 0.1 mg/kg = 1 mg IV/IM/IN (max 2 mg). Titrate to effect, not full reversal.",SNHD Protocols - Naloxone Pediatric
162,PARAMEDIC,Pediatric,Medications,Naloxone for a 4-year-old (16 kg) with suspected overdose. Intranasal dosing?,"[""1 mg in one nostril"", ""2 mg total (1 mg each nostril)"", ""4 mg in one nostril"", ""0.5 mg total""]",1,"Pediatric IN naloxone: 2 mg total, divided as 1 mg in each nostril (max per nostril).",SNHD Protocols - Naloxone IN
163,PARAMEDIC,Pediatric,Medications,A 3 kg newborn in cardiac arrest needs epinephrine. Dose: 3 kg × 0.01 mg/kg = ? mg IV/IO,"[""0.01 mg"", ""0.03 mg"", ""0.1 mg"", ""0.3 mg""]",1,"3 kg × 0.01 mg/kg = 0.03 mg (0.3 mL of 1:10,000) IV/IO every 3-5 minutes.",SNHD Protocols - Neonatal Epinephrine
164,PARAMEDIC,Pediatric,Medications,Pediatric epinephrine for cardiac arrest vs anaphylaxis dosing differs. Arrest is:,"[""0.01 mg/kg IV/IO (1:10,000)"", ""0.1 mg/kg IV/IO"", ""0.01 mg/kg IM"", ""0.3 mg fixed""]",0,"Cardiac arrest: 0.01 mg/kg (0.1 mL/kg) of 1:10,000 IV/IO. Anaphylaxis: 0.01 mg/kg IM (1:1,000).",SNHD Protocols - Epinephrine Routes
165,PARAMEDIC,Pediatric,Medications,Atropine for pediatric symptomatic bradycardia (minimum dose to prevent paradoxical bradycardia):,"[""0.01 mg/kg (min 0.1 mg, max 0.5 mg)"", ""0.02 mg/kg IV"", ""0.1 mg fixed"", ""0.5 mg fixed""]",0,"Atropine: 0.02 mg/kg IV/IO (minimum 0.1 mg, maximum 0.5 mg child, 1 mg adolescent).",SNHD Protocols - Atropine Pediatric
166,PARAMEDIC,Pediatric,Medications,A 24 kg child needs RSI. Etomidate induction dose: 24 kg × 0.3 mg/kg = ? mg IV,"[""5 mg"", ""7.2 mg"", ""10 mg"", ""15 mg""]",1,24 kg × 0.3 mg/kg = 7.2 mg IV etomidate for induction (typical range 0.2-0.3 mg/kg).,SNHD Protocols - Etomidate Pediatric
167,PARAMEDIC,Pediatric,Medications,Ketamine for pediatric sedation (not RSI): 30 kg × 1 mg/kg = ? mg IV/IM,"[""10 mg"", ""20 mg"", ""30 mg"", ""60 mg""]",2,30 kg × 1 mg/kg = 30 mg IV/IM for procedural sedation (RSI dose is 2 mg/kg).,SNHD Protocols - Ketamine Sedation
168,PARAMEDIC,Pediatric,Medications,Propofol for pediatric RSI: 25 kg × 2 mg/kg = ? mg IV,"[""25 mg"", ""50 mg"", ""75 mg"", ""100 mg""]",1,"25 kg × 2 mg/kg = 50 mg IV propofol (use cautiously, can cause hypotension).",SNHD Protocols - Propofol Pediatric
169,PARAMEDIC,Pediatric,Medications,A 20 kg child post-intubation needs ongoing paralysis. Vecuronium: 20 kg × 0.1 mg/kg = ?,"[""1 mg"", ""2 mg"", ""3 mg"", ""4 mg""]",1,20 kg × 0.1 mg/kg = 2 mg IV vecuronium for maintenance paralysis.,SNHD Protocols - Vecuronium
170,PARAMEDIC,Pediatric,Medications,Post-intubation sedation for 40 kg child: Fentanyl 1 mcg/kg + Midazolam 0.1 mg/kg = ?,"[""20 mcg fentanyl + 2 mg midazolam"", ""40 mcg fentanyl + 4 mg midazolam"", ""60 mcg fentanyl + 6 mg midazolam"", ""100 mcg fentanyl + 10 mg midazolam""]",1,40 kg: 40 mcg fentanyl + 4 mg midazolam. Both analgesia AND sedation required.,SNHD Protocols - Post-Intubation Care
171,AEMT,Pediatric,Medications,A 5 kg infant with BG 45 mg/dL and altered mental status. D10: 5 kg × 5 mL/kg = ?,"[""15 mL"", ""25 mL"", ""35 mL"", ""50 mL""]",1,5 kg × 5 mL/kg = 25 mL D10 slow IV push for hypoglycemia.,SNHD Protocols - Infant Hypoglycemia
172,AEMT,Pediatric,Medications,Glucagon for a 12 kg child unable to take PO with BG 50: 12 kg × 0.03 mg/kg = ? mg IM,"[""0.2 mg"", ""0.36 mg"", ""0.5 mg"", ""1 mg""]",1,"12 kg × 0.03 mg/kg = 0.36 mg IM/SC glucagon (if no IV access, can use 0.5 mg min).",SNHD Protocols - Glucagon Pediatric
173,PARAMEDIC,Pediatric,Medications,A 30 kg child with suspected meningitis. Ceftriaxone: 30 kg × 50 mg/kg = ? mg IM/IV,"[""500 mg"", ""1000 mg"", ""1500 mg"", ""2000 mg""]",2,30 kg × 50 mg/kg = 1500 mg IM/IV ceftriaxone (max 2 g) for suspected meningitis.,SNHD Protocols - Meningitis Antibiotics
174,PARAMEDIC,Pediatric,Medications,A 25 kg child with refractory asthma. Magnesium: 25 kg × 25-50 mg/kg = ? mg IV (max 2 g),"[""250-500 mg"", ""625-1250 mg"", ""1000-1500 mg"", ""2000 mg""]",1,25 kg × 25-50 mg/kg = 625-1250 mg IV magnesium sulfate over 20 minutes.,SNHD Protocols - Magnesium Asthma
175,PARAMEDIC,Pediatric,Medications,A 20 kg child with hyperkalemia. Calcium gluconate: 20 kg × 0.5-1 mL/kg = ? mL,"[""5-10 mL"", ""10-20 mL"", ""20-30 mL"", ""30-40 mL""]",1,20 kg × 0.5-1 mL/kg = 10-20 mL calcium gluconate slow IV for hyperkalemia/cardiac stabilization.,SNHD Protocols - Hyperkalemia
